gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U10,A1,Y,NAND2X1,negative_unate,918803,800829,578672,351581
U10,A2,Y,NAND2X1,negative_unate,1.44333e+06,1.07512e+06,1.88727e+06,442290
U100,A1,Y,NAND2X1,negative_unate,882182,846919,573286,379333
U100,A2,Y,NAND2X1,negative_unate,1.2797e+06,1.04784e+06,1.34092e+06,421021
U101,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U101,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U101,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U101,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U102,A1,Y,XOR2X1,positive_unate,2.31344e+06,3.00492e+06,776850,1.03639e+06
U102,A1,Y,XOR2X1,negative_unate,5.76262e+06,4.31356e+06,1.27834e+06,949548
U102,A2,Y,XOR2X1,positive_unate,2.10685e+06,3.04188e+06,1.01607e+06,662452
U102,A2,Y,XOR2X1,negative_unate,5.36932e+06,4.76066e+06,1.03988e+06,302420
U103,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U103,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U103,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U103,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U104,A1,Y,XOR2X1,positive_unate,2.31344e+06,3.00492e+06,776850,1.03639e+06
U104,A1,Y,XOR2X1,negative_unate,5.76262e+06,4.31356e+06,1.27834e+06,949548
U104,A2,Y,XOR2X1,positive_unate,2.08944e+06,3.14701e+06,990172,538721
U104,A2,Y,XOR2X1,negative_unate,5.21768e+06,4.79504e+06,1.05706e+06,232323
U105,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U105,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U105,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U105,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U106,A1,Y,XOR2X1,positive_unate,2.31344e+06,3.00492e+06,776850,1.03639e+06
U106,A1,Y,XOR2X1,negative_unate,5.76262e+06,4.31356e+06,1.27834e+06,949548
U106,A2,Y,XOR2X1,positive_unate,2.06768e+06,3.06296e+06,957812,637648
U106,A2,Y,XOR2X1,negative_unate,5.33892e+06,4.838e+06,1.04332e+06,144728
U107,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U107,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U107,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U107,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U108,A1,Y,XOR2X1,positive_unate,2.31344e+06,3.00492e+06,776850,1.03639e+06
U108,A1,Y,XOR2X1,negative_unate,5.76262e+06,4.31356e+06,1.27834e+06,949548
U108,A2,Y,XOR2X1,positive_unate,2.23662e+06,2.89762e+06,1.20905e+06,832230
U108,A2,Y,XOR2X1,negative_unate,5.57738e+06,4.50445e+06,1.0163e+06,824805
U109,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U109,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U109,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U109,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U11,A1,Y,NAND2X1,negative_unate,895754,876481,594093,395716
U11,A2,Y,NAND2X1,negative_unate,1.43333e+06,1.06119e+06,1.82001e+06,428910
U110,A1,Y,XOR2X1,positive_unate,2.31344e+06,3.00492e+06,776850,1.03639e+06
U110,A1,Y,XOR2X1,negative_unate,5.76262e+06,4.31356e+06,1.27834e+06,949548
U110,A2,Y,XOR2X1,positive_unate,2.04637e+06,3.04393e+06,926118,660045
U110,A2,Y,XOR2X1,negative_unate,5.36636e+06,4.88007e+06,1.04021e+06,58935.6
U111,A1,Y,NAND2X1,negative_unate,919427,784621,578659,341878
U111,A2,Y,NAND2X1,negative_unate,1.28205e+06,1.0272e+06,1.34097e+06,398350
U112,A1,Y,OR2X1,positive_unate,1.84273e+06,2.31594e+06,1.01924e+06,671325
U112,A2,Y,OR2X1,positive_unate,1.84273e+06,2.31594e+06,1.01924e+06,671325
U113,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U113,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U113,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U113,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U114,A1,Y,XOR2X1,positive_unate,2.31344e+06,3.00492e+06,776850,1.03639e+06
U114,A1,Y,XOR2X1,negative_unate,5.76262e+06,4.31356e+06,1.27834e+06,949548
