gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U11,A1,ZN,NAND2_X1,negative_unate,0.0119269,0.0101417,0.00927662,0.00690024
U11,A2,ZN,NAND2_X1,negative_unate,0.01402,0.0114468,0.0106412,0.00690197
U12,A1,ZN,AND2_X2,positive_unate,0.0346459,0.0274705,0.0153066,0.008129
U12,A2,ZN,AND2_X2,positive_unate,0.035947,0.0298002,0.0153061,0.00832364
U13,A1,ZN,NAND2_X1,negative_unate,0.017315,0.0146065,0.0143207,0.0107442
U13,A2,ZN,NAND2_X1,negative_unate,0.0193989,0.0158993,0.0157054,0.0107458
U14,A1,ZN,OR2_X1,positive_unate,0.0150665,0.0379365,0.00431409,0.00749479
U14,A2,ZN,OR2_X1,positive_unate,0.016651,0.0417356,0.00453307,0.00749332
U15,A1,ZN,OR2_X1,positive_unate,0.0319763,0.0522011,0.0186553,0.0141753
U15,A2,ZN,OR2_X1,positive_unate,0.0337033,0.0559922,0.0187625,0.0141752
U16,A1,ZN,OR2_X4,positive_unate,0.0135993,0.0339407,0.00379959,0.00675579
U16,A2,ZN,OR2_X4,positive_unate,0.0151093,0.0377606,0.00402169,0.00675647
U17,A1,ZN,NAND3_X1,negative_unate,0.0203461,0.0223635,0.0111311,0.0128865
U17,A2,ZN,NAND3_X1,negative_unate,0.0219547,0.0235108,0.0119331,0.0114854
U17,A3,ZN,NAND3_X1,negative_unate,0.0218152,0.0217687,0.0128639,0.0109892
U18,A1,ZN,OR2_X2,positive_unate,0.0233103,0.0432038,0.0113283,0.010471
U18,A2,ZN,OR2_X2,positive_unate,0.0249881,0.0470108,0.0114809,0.0104716
U19,A1,ZN,NAND2_X1,negative_unate,0.0179608,0.016583,0.00990401,0.00936735
U19,A2,ZN,NAND2_X1,negative_unate,0.0183889,0.0151409,0.0104233,0.00748728
U20,A1,ZN,OR2_X1,positive_unate,0.0205411,0.0429637,0.00845271,0.00957028
U20,A2,ZN,OR2_X1,positive_unate,0.0222042,0.0467564,0.00863161,0.00957232
U21,A1,ZN,OR2_X1,positive_unate,0.0301645,0.0507437,0.0169994,0.0134113
U21,A2,ZN,OR2_X1,positive_unate,0.0318834,0.0545353,0.0171174,0.0134108
U22,A1,ZN,NAND2_X1,negative_unate,0.0182926,0.016439,0.0125725,0.00974406
U22,A2,ZN,NAND2_X1,negative_unate,0.0220393,0.017036,0.0139685,0.00939933
U23,A1,ZN,NOR2_X1,negative_unate,0.0301154,0.0120195,0.0225009,0.00677905
U23,A2,ZN,NOR2_X1,negative_unate,0.0347879,0.0120482,0.0224989,0.00693135
U24,A1,ZN,AND2_X2,positive_unate,0.0275938,0.0241333,0.00970974,0.00625347
U24,A2,ZN,AND2_X2,positive_unate,0.0288943,0.026405,0.00971249,0.00645792
U25,A,ZN,AOI21_X1,negative_unate,0.030767,0.0151826,0.0167947,0.00788142
U25,A,ZN,AOI21_X1,negative_unate,0.035398,0.0139206,0.020338,0.00779888
U25,A,ZN,AOI21_X1,negative_unate,0.0408188,0.0140788,0.0232056,0.00868747
U25,B1,ZN,AOI21_X1,negative_unate,0.0288282,0.016483,0.0202522,0.00899932
U25,B2,ZN,AOI21_X1,negative_unate,0.0324012,0.0174106,0.0231793,0.00835435
U26,A,ZN,AOI21_X1,negative_unate,0.0444828,0.0189145,0.0289902,0.0100301
U26,A,ZN,AOI21_X1,negative_unate,0.0530028,0.0178412,0.0362712,0.00989498
U26,A,ZN,AOI21_X1,negative_unate,0.0584973,0.017975,0.0392558,0.010804
U26,B1,ZN,AOI21_X1,negative_unate,0.0464634,0.0222949,0.0362714,0.012927
U26,B2,ZN,AOI21_X1,negative_unate,0.0500022,0.0232096,0.0392509,0.0127021
U27,A,ZN,AOI21_X1,negative_unate,0.0313171,0.0148478,0.0172815,0.00770694
U27,A,ZN,AOI21_X1,negative_unate,0.0361034,0.0135653,0.0209731,0.00762283
U27,A,ZN,AOI21_X1,negative_unate,0.0415279,0.0137265,0.0238471,0.00851863
U27,B1,ZN,AOI21_X1,negative_unate,0.0295337,0.015968,0.0208946,0.00870257
U27,B2,ZN,AOI21_X1,negative_unate,0.0331068,0.0169102,0.0238231,0.00800887
U28,A1,ZN,OR2_X2,positive_unate,0.026309,0.0452173,0.014051,0.0114738
U28,A2,ZN,OR2_X2,positive_unate,0.0280022,0.0490232,0.0141867,0.0114739
U29,A1,ZN,AND2_X2,positive_unate,0.0343386,0.0278503,0.015046,0.00836922
U29,A2,ZN,AND2_X2,positive_unate,0.0356397,0.0301856,0.0150455,0.00856273
U30,A1,ZN,AND2_X1,positive_unate,0.0351309,0.0289223,0.0148181,0.00838151
U30,A2,ZN,AND2_X1,positive_unate,0.0364224,0.0312547,0.0148175,0.00858091
U31,A,ZN,INV_X1,negative_unate,0.0196635,0.0132874,0.0131348,0.00766774
U32,A,ZN,OAI211_X1,negative_unate,0.0300182,0.0378914,0.0227421,0.0221667
U32,A,ZN,OAI211_X1,negative_unate,0.0296635,0.0336308,0.0202894,0.0196233
U32,A,ZN,OAI211_X1,negative_unate,0.0307262,0.0305769,0.0208251,0.0171328
U32,B,ZN,OAI211_X1,negative_unate,0.0307798,0.0378449,0.0241312,0.0221665
U32,B,ZN,OAI211_X1,negative_unate,0.0304144,0.0335825,0.0215682,0.0196159
U32,B,ZN,OAI211_X1,negative_unate,0.0316033,0.0302277,0.0220501,0.0171327
U32,C1,ZN,OAI211_X1,negative_unate,0.0480652,0.033334,0.0375678,0.0207036
U32,C2,ZN,OAI211_X1,negative_unate,0.0531275,0.0320042,0.037572,0.0221736
U33,A1,ZN,OR2_X1,positive_unate,0.0361006,0.0546933,0.0224941,0.0155172
U33,A2,ZN,OR2_X1,positive_unate,0.0378411,0.0584836,0.0225893,0.0155176
U34,A1,ZN,AND2_X1,positive_unate,0.0369434,0.0326352,0.0099693,0.00634906
U34,A2,ZN,AND2_X1,positive_unate,0.0355117,0.0339528,0.00980274,0.0065375
U35,A1,ZN,NAND2_X1,negative_unate,0.0213547,0.0195727,0.0116473,0.0134176
U35,A2,ZN,NAND2_X1,negative_unate,0.0165138,0.0146894,0.0102889,0.00735467
U36,A1,ZN,AND2_X1,positive_unate,0.0413305,0.0326113,0.0200063,0.0106504
U36,A2,ZN,AND2_X1,positive_unate,0.042623,0.0349968,0.0200054,0.0108386
U37,A1,ZN,NAND2_X1,negative_unate,0.0179365,0.0161512,0.0100622,0.0089381
U37,A2,ZN,NAND2_X1,negative_unate,0.0189281,0.0170297,0.0107503,0.00818529
U38,A1,ZN,NAND3_X1,negative_unate,0.0140566,0.0137304,0.00771183,0.00771966
U38,A2,ZN,NAND3_X1,negative_unate,0.0145224,0.0159237,0.00772167,0.00716585
U38,A3,ZN,NAND3_X1,negative_unate,0.0171927,0.0174756,0.00892437,0.00719983
U39,A,ZN,INV_X1,negative_unate,0.0148006,0.0102173,0.0084909,0.00690718
U40,A1,ZN,NAND2_X1,negative_unate,0.0171737,0.0155936,0.0114126,0.00934362
U40,A2,ZN,NAND2_X1,negative_unate,0.0237933,0.0202474,0.013041,0.0102629
U41,A,ZN,XNOR2_X1,positive_unate,0.0421852,0.0405126,0.00979197,0.00738281
U41,A,ZN,XNOR2_X1,negative_unate,0.0251775,0.0140845,0.0139254,0.0110509
U41,B,ZN,XNOR2_X1,positive_unate,0.0358989,0.0353956,0.00962866,0.0058914
U41,B,ZN,XNOR2_X1,negative_unate,0.0250149,0.0139281,0.0122244,0.00757585
U42,A1,ZN,NOR2_X1,negative_unate,0.0190921,0.00470417,0.0142021,0.00292133
U42,A2,ZN,NOR2_X1,negative_unate,0.0229877,0.00562841,0.0141998,0.00409052
U43,A1,ZN,OR2_X1,positive_unate,0.0261111,0.0460378,0.00833411,0.00962291
U43,A2,ZN,OR2_X1,positive_unate,0.027946,0.0485393,0.00847215,0.00962177
U44,A,ZN,AOI21_X1,negative_unate,0.0329309,0.0164583,0.0177515,0.00872065
U44,A,ZN,AOI21_X1,negative_unate,0.0378117,0.0150799,0.0215838,0.00871965
U44,A,ZN,AOI21_X1,negative_unate,0.0432333,0.015259,0.0244619,0.00974208
U44,B1,ZN,AOI21_X1,negative_unate,0.029055,0.0165328,0.0215328,0.0089799
U44,B2,ZN,AOI21_X1,negative_unate,0.0367485,0.0186768,0.0244089,0.00905428
U45,A,ZN,OAI211_X1,negative_unate,0.0244163,0.0293011,0.0171925,0.0165454
U45,A,ZN,OAI211_X1,negative_unate,0.0240686,0.025214,0.0151208,0.0140285
U45,A,ZN,OAI211_X1,negative_unate,0.0251405,0.0228208,0.015618,0.0124368
U45,B,ZN,OAI211_X1,negative_unate,0.0262014,0.0333708,0.0185902,0.0169558
U45,B,ZN,OAI211_X1,negative_unate,0.0258392,0.0290969,0.0163766,0.0145856
U45,B,ZN,OAI211_X1,negative_unate,0.0270724,0.027048,0.0168286,0.0131722
U45,C1,ZN,OAI211_X1,negative_unate,0.0380346,0.0228478,0.0270665,0.01412
U45,C2,ZN,OAI211_X1,negative_unate,0.041344,0.0299099,0.0270661,0.0176651
U46,A1,ZN,NAND2_X1,negative_unate,0.0191186,0.0183803,0.0117074,0.0101706
U46,A2,ZN,NAND2_X1,negative_unate,0.022704,0.0192014,0.0129577,0.00955367
U47,A,ZN,XNOR2_X1,positive_unate,0.0393585,0.0384731,0.00974386,0.00732939
U47,A,ZN,XNOR2_X1,negative_unate,0.0234855,0.0132929,0.0129368,0.008973
U47,B,ZN,XNOR2_X1,positive_unate,0.035875,0.0353485,0.00962811,0.00589126
U47,B,ZN,XNOR2_X1,negative_unate,0.0249771,0.0138974,0.0122236,0.00756329
U48,A,ZN,INV_X1,negative_unate,0.0207464,0.0119622,0.0133305,0.00689038
U49,A,ZN,XNOR2_X1,positive_unate,0.0426383,0.0361373,0.00979969,0.00731204
U49,A,ZN,XNOR2_X1,negative_unate,0.021436,0.0142114,0.0125994,0.0113839
U49,B,ZN,XNOR2_X1,positive_unate,0.0382205,0.0336936,0.00965063,0.00588632
U49,B,ZN,XNOR2_X1,negative_unate,0.0236514,0.0162748,0.0121942,0.00926471
U50,A,Z,XOR2_X1,positive_unate,0.03627,0.0445,0.0150717,0.00951008
U50,A,Z,XOR2_X1,negative_unate,0.0161337,0.00725675,0.0122659,0.00442223
U50,B,Z,XOR2_X1,positive_unate,0.0329611,0.0483988,0.0124061,0.00945822
U50,B,Z,XOR2_X1,negative_unate,0.020905,0.00858325,0.0150182,0.00441535
U51,A,ZN,INV_X1,negative_unate,0.0158615,0.0107858,0.00993755,0.00648638
U52,A,ZN,INV_X1,negative_unate,0.0153463,0.00943798,0.00876695,0.0057156
U53,A1,ZN,NOR2_X1,negative_unate,0.0308162,0.0126022,0.0225016,0.00714582
U53,A2,ZN,NOR2_X1,negative_unate,0.0344772,0.0116819,0.0224985,0.00675846
U54,A,ZN,XNOR2_X1,positive_unate,0.0340286,0.0329328,0.00963288,0.00729441
U54,A,ZN,XNOR2_X1,negative_unate,0.0186086,0.0104397,0.012248,0.00554047
U54,B,ZN,XNOR2_X1,positive_unate,0.0382206,0.0338032,0.00965063,0.00588665
U54,B,ZN,XNOR2_X1,negative_unate,0.0237392,0.0162749,0.0121962,0.00926483
U55,A1,ZN,NAND2_X1,negative_unate,0.0172962,0.016263,0.0112458,0.00919786
U55,A2,ZN,NAND2_X1,negative_unate,0.022845,0.0183824,0.0127788,0.00902331
U56,A,ZN,OAI21_X1,negative_unate,0.02198,0.021897,0.0162892,0.0115834
U56,A,ZN,OAI21_X1,negative_unate,0.0216313,0.019167,0.0142844,0.00990139
U56,A,ZN,OAI21_X1,negative_unate,0.0226968,0.0169418,0.0147915,0.00807012
U56,B1,ZN,OAI21_X1,negative_unate,0.0360201,0.0249986,0.0253645,0.0160734
U56,B2,ZN,OAI21_X1,negative_unate,0.0384969,0.02078,0.0253696,0.0119133
U57,A,ZN,XNOR2_X1,positive_unate,0.0350757,0.0342819,0.00965864,0.00730183
U57,A,ZN,XNOR2_X1,negative_unate,0.0197989,0.0112663,0.0123959,0.00611991
U57,B,ZN,XNOR2_X1,positive_unate,0.0388329,0.0383641,0.00964768,0.00590026
U57,B,ZN,XNOR2_X1,negative_unate,0.0273929,0.0167159,0.0122771,0.00983891
