gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1000,A,ZN,XNOR2_X2,positive_unate,0.00938621,0.00872543,0.00748837,0.00759685
U1000,A,ZN,XNOR2_X2,negative_unate,0.00779089,0.00530805,0.0129417,0.00722211
U1000,B,ZN,XNOR2_X2,positive_unate,0.0102374,0.00951168,0.00750947,0.00671566
U1000,B,ZN,XNOR2_X2,negative_unate,0.0089979,0.00704648,0.0128816,0.00848989
U1001,A,ZN,XNOR2_X2,positive_unate,0.00896741,0.00813551,0.00666379,0.00668332
U1001,A,ZN,XNOR2_X2,negative_unate,0.00680808,0.0048105,0.0111679,0.00631954
U1001,B,ZN,XNOR2_X2,positive_unate,0.00872142,0.0086203,0.00661136,0.00580019
U1001,B,ZN,XNOR2_X2,negative_unate,0.00777054,0.0050929,0.0110811,0.00685954
U1002,A,ZN,XNOR2_X2,positive_unate,0.00755263,0.00725448,0.00466075,0.00451593
U1002,A,ZN,XNOR2_X2,negative_unate,0.00489497,0.00318352,0.00707316,0.00390329
U1002,B,ZN,XNOR2_X2,positive_unate,0.00775087,0.00740107,0.00464137,0.00362262
U1002,B,ZN,XNOR2_X2,negative_unate,0.00559502,0.00392842,0.00689184,0.00467633
U1003,A,ZN,XNOR2_X2,positive_unate,0.00791707,0.00775506,0.00469319,0.00452622
U1003,A,ZN,XNOR2_X2,negative_unate,0.00530139,0.00357079,0.00722929,0.00412785
U1003,B,ZN,XNOR2_X2,positive_unate,0.00850305,0.00755007,0.0046987,0.00362306
U1003,B,ZN,XNOR2_X2,negative_unate,0.00571552,0.00495247,0.00691807,0.00513321
U1004,A,ZN,XNOR2_X2,positive_unate,0.00848922,0.00775667,0.00546234,0.00534861
U1004,A,ZN,XNOR2_X2,negative_unate,0.00576178,0.00422645,0.00868507,0.00506945
U1004,B,ZN,XNOR2_X2,positive_unate,0.00827843,0.00805231,0.00540711,0.00445669
U1004,B,ZN,XNOR2_X2,negative_unate,0.00657745,0.00458631,0.0085263,0.00560377
U1005,A1,ZN,AOI22_X4,negative_unate,0.00400126,0.00363406,0.0056286,0.00473692
U1005,A2,ZN,AOI22_X4,negative_unate,0.00419438,0.00320452,0.00609758,0.00393831
U1005,B1,ZN,AOI22_X4,negative_unate,0.00514891,0.00488715,0.00688506,0.00557649
U1005,B2,ZN,AOI22_X4,negative_unate,0.00679475,0.00644153,0.00791075,0.00599195
U1006,A1,ZN,NAND2_X2,negative_unate,0.00463405,0.00470761,0.00633682,0.00702815
U1006,A2,ZN,NAND2_X2,negative_unate,0.00557804,0.00580816,0.00694266,0.00717683
U1007,A1,ZN,OAI22_X4,negative_unate,0.00547886,0.00574261,0.00955266,0.00601258
U1007,A2,ZN,OAI22_X4,negative_unate,0.00471334,0.00457764,0.00854876,0.00507172
U1007,B1,ZN,OAI22_X4,negative_unate,0.00601972,0.00505726,0.0102313,0.00444526
U1007,B2,ZN,OAI22_X4,negative_unate,0.00712057,0.00633474,0.0100678,0.00556612
U1008,A,ZN,XNOR2_X2,positive_unate,0.00826464,0.00748996,0.00472413,0.00452077
U1008,A,ZN,XNOR2_X2,negative_unate,0.00508616,0.00394014,0.00714661,0.00434201
U1008,B,ZN,XNOR2_X2,positive_unate,0.00811545,0.00805648,0.00466916,0.00362452
U1008,B,ZN,XNOR2_X2,negative_unate,0.00612505,0.00442477,0.00700722,0.00489778
U1009,A1,ZN,NAND2_X2,negative_unate,0.00441595,0.00487593,0.00622179,0.00711306
U1009,A2,ZN,NAND2_X2,negative_unate,0.00527393,0.00482438,0.00681755,0.00676828
U1010,A,ZN,OAI21_X2,negative_unate,0.00456768,0.00519377,0.00521638,0.00447214
U1010,B1,ZN,OAI21_X2,negative_unate,0.0043606,0.00418774,0.00593712,0.00418262
U1010,B2,ZN,OAI21_X2,negative_unate,0.00524697,0.00504876,0.00579358,0.00478156
U1011,A,ZN,XNOR2_X2,positive_unate,0.00862335,0.00798195,0.00663617,0.0066806
U1011,A,ZN,XNOR2_X2,negative_unate,0.00668253,0.00444077,0.0111299,0.0061309
U1011,B,ZN,XNOR2_X2,positive_unate,0.0101307,0.00957274,0.00669774,0.00580372
U1011,B,ZN,XNOR2_X2,negative_unate,0.00855199,0.00689364,0.011211,0.00800269
U1012,A,ZN,INV_X1,negative_unate,0.00464603,0.00433338,0.005666,0.00419155
U1013,A1,ZN,OAI22_X4,negative_unate,0.00478124,0.00502307,0.00926036,0.00497732
U1013,A2,ZN,OAI22_X4,negative_unate,0.00527753,0.0052388,0.00886463,0.00538757
U1013,B1,ZN,OAI22_X4,negative_unate,0.00537251,0.0040855,0.0101407,0.00420634
U1013,B2,ZN,OAI22_X4,negative_unate,0.00661558,0.00576284,0.010123,0.00517975
U1014,A,ZN,XNOR2_X2,positive_unate,0.00977538,0.00889016,0.00672952,0.00670338
U1014,A,ZN,XNOR2_X2,negative_unate,0.00742881,0.0056598,0.0113664,0.00685676
U1014,B,ZN,XNOR2_X2,positive_unate,0.00921886,0.0085013,0.00665292,0.00580655
U1014,B,ZN,XNOR2_X2,negative_unate,0.00767658,0.00576616,0.0110775,0.00713292
U1015,A1,ZN,NAND2_X2,negative_unate,0.00461034,0.0048794,0.00631082,0.00711008
U1015,A2,ZN,NAND2_X2,negative_unate,0.00531333,0.00490404,0.0068272,0.00679482
U1016,A,ZN,OAI21_X2,negative_unate,0.00480481,0.00522659,0.00532064,0.00451118
U1016,B1,ZN,OAI21_X2,negative_unate,0.00426138,0.00293223,0.00589825,0.00337815
U1016,B2,ZN,OAI21_X2,negative_unate,0.0060445,0.00544675,0.00596486,0.00539658
U1017,A1,ZN,NAND2_X2,negative_unate,0.00415244,0.00476224,0.00587854,0.00683288
U1017,A2,ZN,NAND2_X2,negative_unate,0.00500188,0.0047019,0.00648501,0.00647039
U1018,A1,ZN,NAND2_X1,negative_unate,0.00455134,0.00435731,0.00475428,0.00531294
U1018,A2,ZN,NAND2_X1,negative_unate,0.0049566,0.00440799,0.00522723,0.00502935
U1019,A,ZN,OAI21_X2,negative_unate,0.0041374,0.00510978,0.00502719,0.00437221
U1019,B1,ZN,OAI21_X2,negative_unate,0.00479857,0.00338007,0.0061087,0.00365619
U1019,B2,ZN,OAI21_X2,negative_unate,0.00547383,0.00409673,0.0058423,0.0043181
U1020,A,ZN,XNOR2_X2,positive_unate,0.00888649,0.00812538,0.00639117,0.00637926
U1020,A,ZN,XNOR2_X2,negative_unate,0.0066314,0.00470755,0.0106175,0.00604883
U1020,B,ZN,XNOR2_X2,positive_unate,0.00891984,0.00900975,0.00635745,0.0054947
U1020,B,ZN,XNOR2_X2,negative_unate,0.007923,0.00538321,0.01057,0.00673594
U1021,A1,ZN,NAND2_X2,negative_unate,0.00435946,0.00477617,0.00598367,0.00684407
U1021,A2,ZN,NAND2_X2,negative_unate,0.00533225,0.00477463,0.00661495,0.00650404
U1022,A1,ZN,NAND2_X1,negative_unate,0.00417008,0.00455381,0.0032641,0.00431838
U1022,A2,ZN,NAND2_X1,negative_unate,0.00604356,0.00636013,0.00480425,0.00620359
U1023,A,ZN,OAI21_X1,negative_unate,0.00548353,0.00632194,0.00542935,0.00535405
U1023,B1,ZN,OAI21_X1,negative_unate,0.00645174,0.00658917,0.0068913,0.00748598
U1023,B2,ZN,OAI21_X1,negative_unate,0.00604929,0.00544402,0.00585063,0.00495384
U1024,A,ZN,XNOR2_X2,positive_unate,0.00900353,0.00820865,0.00477577,0.00453554
U1024,A,ZN,XNOR2_X2,negative_unate,0.00566966,0.00464613,0.00737075,0.00501135
U1024,B,ZN,XNOR2_X2,positive_unate,0.0107996,0.00976891,0.00481131,0.00366676
U1024,B,ZN,XNOR2_X2,negative_unate,0.0075771,0.00735082,0.0077619,0.0081908
U1025,A1,ZN,OAI22_X4,negative_unate,0.00433542,0.00423289,0.00907017,0.00463586
U1025,A2,ZN,OAI22_X4,negative_unate,0.00712903,0.00803504,0.00997641,0.00811273
U1025,B1,ZN,OAI22_X4,negative_unate,0.00584296,0.00470023,0.0103781,0.00444044
U1025,B2,ZN,OAI22_X4,negative_unate,0.00948068,0.0090999,0.0116646,0.00827305
U1026,A1,ZN,NAND2_X1,negative_unate,0.00514587,0.00592113,0.00496636,0.00676773
U1026,A2,ZN,NAND2_X1,negative_unate,0.00602298,0.00562631,0.00556162,0.00579035
U1027,A,ZN,OAI21_X2,negative_unate,0.00436228,0.00437362,0.00512606,0.00406723
U1027,B1,ZN,OAI21_X2,negative_unate,0.00524954,0.00458881,0.00628537,0.00506734
U1027,B2,ZN,OAI21_X2,negative_unate,0.00632709,0.00540064,0.00602555,0.00532533
U1028,A1,ZN,NAND2_X1,negative_unate,0.00287388,0.00325621,0.00276461,0.00341225
U1028,A2,ZN,NAND2_X1,negative_unate,0.00307095,0.00270421,0.00319612,0.0029327
U1029,A,ZN,INV_X1,negative_unate,0.00388879,0.00416638,0.00319872,0.0035662
U1030,A1,ZN,OAI22_X4,negative_unate,0.00491948,0.00454376,0.0102217,0.00522743
U1030,A2,ZN,OAI22_X4,negative_unate,0.008447,0.00954573,0.0118021,0.00997147
U1030,B1,ZN,OAI22_X4,negative_unate,0.00633648,0.004894,0.0115084,0.00500309
U1030,B2,ZN,OAI22_X4,negative_unate,0.0100948,0.00947375,0.0127813,0.00884487
U1031,A,ZN,OAI21_X2,negative_unate,0.00424716,0.00493409,0.00575475,0.00504128
U1031,B1,ZN,OAI21_X2,negative_unate,0.00523579,0.00372102,0.00776119,0.00450494
U1031,B2,ZN,OAI21_X2,negative_unate,0.0069562,0.00612751,0.00779824,0.00657099
U1032,A,ZN,OAI21_X4,negative_unate,0.00263488,0.00336169,0.00456181,0.00395944
U1032,B1,ZN,OAI21_X4,negative_unate,0.00399185,0.00286653,0.00618378,0.00370734
U1032,B2,ZN,OAI21_X4,negative_unate,0.00546075,0.00498591,0.00626002,0.00523143
U1033,A1,ZN,NAND2_X1,negative_unate,0.00403126,0.00396307,0.0045864,0.00516935
U1033,A2,ZN,NAND2_X1,negative_unate,0.0047951,0.00432425,0.00519466,0.00502477
U1034,A,ZN,OAI21_X2,negative_unate,0.00474163,0.00523748,0.00532041,0.00453882
U1034,B1,ZN,OAI21_X2,negative_unate,0.00443465,0.00302341,0.00602757,0.00346155
U1034,B2,ZN,OAI21_X2,negative_unate,0.00537494,0.00400476,0.00588973,0.00430737
U1035,A,ZN,XNOR2_X2,positive_unate,0.00813645,0.00800586,0.00471272,0.00453137
U1035,A,ZN,XNOR2_X2,negative_unate,0.00550502,0.00380392,0.00730751,0.00426302
U1035,B,ZN,XNOR2_X2,positive_unate,0.00925673,0.00848572,0.0047412,0.00362576
U1035,B,ZN,XNOR2_X2,negative_unate,0.00647217,0.00580417,0.00708278,0.0059891
U1036,A,ZN,INV_X8,negative_unate,0.00341308,0.00257679,0.00489307,0.00346589
