gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1,A,ZN,INV_X1,negative_unate,0.00637646,0.00567788,0.0101973,0.0067667
U10,A,ZN,XNOR2_X1,positive_unate,0.0107601,0.0101594,0.00982871,0.0101151
U10,A,ZN,XNOR2_X1,negative_unate,0.0101776,0.00668996,0.0177235,0.0095422
U10,B,ZN,XNOR2_X1,positive_unate,0.0107856,0.0107279,0.0098025,0.00925825
U10,B,ZN,XNOR2_X1,negative_unate,0.0110984,0.00709945,0.0176932,0.0102462
U100,A1,ZN,NOR2_X1,negative_unate,0.00547709,0.00272173,0.00978805,0.00291321
U100,A2,ZN,NOR2_X1,negative_unate,0.00609858,0.00296188,0.00979445,0.00329213
U101,A1,ZN,NOR2_X1,negative_unate,0.00416789,0.0022442,0.00721647,0.0021592
U101,A2,ZN,NOR2_X1,negative_unate,0.00458337,0.00207311,0.00721931,0.00235033
U102,A1,ZN,NOR2_X1,negative_unate,0.00580686,0.00338797,0.00982707,0.00324895
U102,A2,ZN,NOR2_X1,negative_unate,0.0063814,0.00352501,0.00977844,0.00354224
U103,A1,ZN,NOR2_X1,negative_unate,0.00534179,0.00246674,0.00975692,0.00278163
U103,A2,ZN,NOR2_X1,negative_unate,0.00577625,0.00235022,0.00976727,0.00301133
U104,A1,ZN,NOR2_X1,negative_unate,0.0041012,0.00211899,0.00719921,0.00209229
U104,A2,ZN,NOR2_X1,negative_unate,0.00486962,0.00261925,0.0072453,0.0026099
U105,A,CO,FA_X1,positive_unate,0.0121201,0.0153297,0.00805755,0.00578012
U105,A,S,FA_X1,positive_unate,0.0114499,0.0187537,0.00612365,0.00560401
U105,A,S,FA_X1,negative_unate,0.0205864,0.0190949,0.00633516,0.00438638
U105,B,CO,FA_X1,positive_unate,0.0114167,0.0152771,0.00767312,0.00579107
U105,B,S,FA_X1,positive_unate,0.00942282,0.018398,0.00580719,0.00559306
U105,B,S,FA_X1,negative_unate,0.0205442,0.0193523,0.00636476,0.00461602
U105,CI,CO,FA_X1,positive_unate,0.0108901,0.0135455,0.00769549,0.00653828
U105,CI,S,FA_X1,positive_unate,0.00880853,0.0168759,0.00618637,0.00563022
U105,CI,S,FA_X1,negative_unate,0.0191333,0.0188964,0.00596853,0.00460741
U106,A,CO,FA_X1,positive_unate,0.011987,0.0152882,0.00775098,0.00560314
U106,A,S,FA_X1,positive_unate,0.0111399,0.0185871,0.00544078,0.00521202
U106,A,S,FA_X1,negative_unate,0.0203191,0.0188963,0.00565887,0.00399632
U106,B,CO,FA_X1,positive_unate,0.0124298,0.0152024,0.00737098,0.00561434
U106,B,S,FA_X1,positive_unate,0.0103507,0.0181825,0.00512112,0.00520125
U106,B,S,FA_X1,negative_unate,0.0202428,0.0202667,0.00569171,0.00423771
U106,CI,CO,FA_X1,positive_unate,0.0116846,0.0135346,0.00738515,0.0063615
U106,CI,S,FA_X1,positive_unate,0.00931931,0.0167024,0.00552127,0.00523854
