gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1000,A1,ZN,NAND2_X4,negative_unate,0.00442232,0.0046124,0.00680254,0.00750329
U1000,A2,ZN,NAND2_X4,negative_unate,0.00495647,0.00481905,0.00724706,0.00735103
U1001,A,Z,BUF_X4,positive_unate,0.00645571,0.00622268,0.00387185,0.00238897
U1002,A,ZN,XNOR2_X2,positive_unate,0.00768993,0.00746914,0.00467297,0.00452034
U1002,A,ZN,XNOR2_X2,negative_unate,0.00506925,0.00332943,0.00714011,0.00398789
U1002,B,ZN,XNOR2_X2,positive_unate,0.0102394,0.00972809,0.00478585,0.00366462
U1002,B,ZN,XNOR2_X2,negative_unate,0.00754044,0.00678918,0.0077301,0.00739129
U1003,A1,ZN,NAND3_X2,negative_unate,0.00300884,0.00438871,0.00424887,0.00754541
U1003,A2,ZN,NAND3_X2,negative_unate,0.00383411,0.00495331,0.00490292,0.00747252
U1003,A3,ZN,NAND3_X2,negative_unate,0.00388449,0.0053657,0.00545138,0.00741364
U1004,A,ZN,INV_X4,negative_unate,0.00450234,0.00369452,0.00663048,0.00474303
U1005,A,ZN,XNOR2_X2,positive_unate,0.00683562,0.00618425,0.00564389,0.0056855
U1005,A,ZN,XNOR2_X2,negative_unate,0.00468415,0.00247852,0.00890608,0.00438104
U1005,B,ZN,XNOR2_X2,positive_unate,0.00719624,0.00626829,0.00565104,0.00482141
U1005,B,ZN,XNOR2_X2,negative_unate,0.00532495,0.0030909,0.00893259,0.00526358
U1006,A1,ZN,OAI22_X1,negative_unate,0.00456093,0.00401014,0.00989481,0.0047368
U1006,A2,ZN,OAI22_X1,negative_unate,0.00620625,0.00622028,0.00989583,0.00594104
U1006,B1,ZN,OAI22_X1,negative_unate,0.0057806,0.00427899,0.0113208,0.00465251
U1006,B2,ZN,OAI22_X1,negative_unate,0.00747201,0.00633368,0.0113456,0.00566498
U1007,A1,ZN,OAI22_X4,negative_unate,0.00484748,0.00517161,0.00929215,0.00516521
U1007,A2,ZN,OAI22_X4,negative_unate,0.00452833,0.00428561,0.00861909,0.00502521
U1007,B1,ZN,OAI22_X4,negative_unate,0.00692837,0.00588908,0.0106687,0.00548397
U1007,B2,ZN,OAI22_X4,negative_unate,0.00617107,0.00503685,0.0100349,0.00500198
U1008,A1,ZN,NOR2_X1,negative_unate,0.00422503,0.00256334,0.00583459,0.00201935
U1008,A2,ZN,NOR2_X1,negative_unate,0.00430842,0.00275714,0.00565502,0.00235096
U1009,A1,ZN,NAND2_X2,negative_unate,0.005714,0.00629885,0.00873672,0.00982752
U1009,A2,ZN,NAND2_X2,negative_unate,0.00640731,0.00629228,0.00927225,0.00955475
U1010,A,ZN,XNOR2_X2,positive_unate,0.0103344,0.00925393,0.00673894,0.00670308
U1010,A,ZN,XNOR2_X2,negative_unate,0.00772247,0.00614591,0.0114442,0.00768485
U1010,B,ZN,XNOR2_X2,positive_unate,0.0101066,0.00932907,0.0066968,0.00580282
U1010,B,ZN,XNOR2_X2,negative_unate,0.00835207,0.00686674,0.0111778,0.00796904
U1011,A1,ZN,NAND4_X4,negative_unate,0.0022442,0.00458875,0.00334289,0.00888982
U1011,A2,ZN,NAND4_X4,negative_unate,0.00279605,0.00547642,0.00389854,0.00900384
U1011,A3,ZN,NAND4_X4,negative_unate,0.0031681,0.00605466,0.00461184,0.0089237
