gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1000,A1,Y,OAI21xp5_ASAP7_6t_R,negative_unate,42.6056,34.1768,53.5521,41.1476
U1000,A2,Y,OAI21xp5_ASAP7_6t_R,negative_unate,31.4782,26.6668,46.3295,35.3694
U1000,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.8022,24.9601,25.0359,34.0196
U1000,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.6587,20.4778,23.7926,26.0402
U1000,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.7106,23.9239,23.7579,33.0744
U1000,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.8022,24.9601,25.0359,34.0196
U1001,A1,Y,OAI21xp5_ASAP7_6t_R,negative_unate,37.9847,30.2496,46.1225,35.5451
U1001,A2,Y,OAI21xp5_ASAP7_6t_R,negative_unate,25.8575,21.8961,37.5729,28.851
U1001,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,17.0142,20.0178,21.2887,27.4375
U1001,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.8719,16.0994,20.057,20.6769
U1001,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.9266,19.035,20.001,26.4839
U1001,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,17.0142,20.0178,21.2887,27.4375
U1002,A1,Y,OAI21xp5_ASAP7_6t_R,negative_unate,41.879,33.5979,52.2255,40.2354
U1002,A2,Y,OAI21xp5_ASAP7_6t_R,negative_unate,34.3298,29.5987,46.5273,37.1648
U1002,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.4529,24.9268,24.3229,33.3332
U1002,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.3115,20.5334,23.0792,25.6398
U1002,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.3633,23.8852,23.0442,32.4042
U1002,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,18.4529,24.9268,24.3229,33.3332
