CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
mul8u_4X5,asap7,0,369.282,31.364496,369.282,2.761e-08,0.000e+00
mul8u_4X5,variability14,0,0.394,147.554307,0.394,5.221e-05,0.000e+00
mul8u_4X5,fdsoi28,0,0.098,847.476009,0.098,2.320e-05,0.000e+00
mul8u_4X5,nangate45,0,1.014,533.595998,1.014,2.150e-05,0.000e+00
mul8u_4X5,variability14,1.065,1.065,72.253524,0.560,1.225e-05,0.000e+00
mul8u_4X5,fdsoi28,1.43,1.43,266.532000,0.213,2.313e-06,0.000e+00
mul8u_4X5,nangate45,2.0,2.0,266.532000,1.551,2.676e-05,0.000e+00
mul8u_4X5,asap7,955,955,18.872352,768.225,1.269e-08,0.000e+00
mul8u_4X5,saed14,1.065,1.065,67.265998,0.679,5.070e-06,0.000e+00
mul8u_4X5,saed32,1.43,1.43,1121.283342,0.370,3.339e-05,0.000e+00
