CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
mul8u_ZB3,asap7,0,376.032,28.950048,376.032,2.453e-08,0.000e+00
mul8u_ZB3,variability14,0,0.388,151.928835,0.388,4.578e-05,0.000e+00
mul8u_ZB3,fdsoi28,0,0.103,799.596009,0.103,2.640e-05,0.000e+00
mul8u_ZB3,nangate45,0,0.972,611.267997,0.972,2.746e-05,0.000e+00
mul8u_ZB3,variability14,1.065,1.065,74.711128,0.560,1.254e-05,0.000e+00
mul8u_ZB3,fdsoi28,1.43,1.43,277.704001,0.213,2.412e-06,0.000e+00
mul8u_ZB3,nangate45,2.0,2.0,277.704001,1.552,2.824e-05,0.000e+00
mul8u_ZB3,asap7,955,955,19.548864,747.328,1.352e-08,0.000e+00
mul8u_ZB3,saed14,1.065,1.065,71.572798,0.721,4.716e-06,0.000e+00
mul8u_ZB3,saed32,1.43,1.43,1170.078989,0.469,3.450e-05,0.000e+00
