gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1,A,Z,BUF_X1,positive_unate,0.050867,0.0423429,0.0311482,0.0140437
U10,A,Z,BUF_X1,positive_unate,0.0693829,0.0510123,0.0429168,0.0179608
U100,A,ZN,INV_X1,negative_unate,0.0142974,0.00849352,0.00777973,0.008307
U101,A1,ZN,AND2_X1,positive_unate,0.0340333,0.0289617,0.0138995,0.00840578
U101,A2,ZN,AND2_X1,positive_unate,0.0380132,0.0352149,0.0139033,0.00861239
U102,A,ZN,XNOR2_X1,positive_unate,0.0408963,0.0389186,0.0187541,0.0143651
U102,A,ZN,XNOR2_X1,negative_unate,0.0385588,0.0156525,0.03149,0.0118943
U102,B,ZN,XNOR2_X1,positive_unate,0.0421562,0.0400096,0.0187176,0.0126979
U102,B,ZN,XNOR2_X1,negative_unate,0.0422976,0.0181517,0.0315044,0.0137044
U103,A1,ZN,NOR2_X1,negative_unate,0.0417655,0.017005,0.0295908,0.0117387
U103,A2,ZN,NOR2_X1,negative_unate,0.0469841,0.0163535,0.0295956,0.00897047
U104,A,CO,FA_X1,positive_unate,0.0600856,0.0828162,0.017094,0.0160118
U104,A,CO,FA_X1,positive_unate,0.0675669,0.0800914,0.0168857,0.0162435
U104,A,S,FA_X1,positive_unate,0.0559569,0.105177,0.0139035,0.0168249
U104,A,S,FA_X1,positive_unate,0.0639318,0.0783029,0.0154429,0.0127291
U104,A,S,FA_X1,negative_unate,0.119361,0.0980482,0.0148989,0.012517
U104,A,S,FA_X1,negative_unate,0.1205,0.101203,0.0143025,0.0136495
U104,B,CO,FA_X1,positive_unate,0.0539635,0.0817653,0.0165321,0.0160138
U104,B,CO,FA_X1,positive_unate,0.0546188,0.08125,0.0167331,0.0156664
U104,B,S,FA_X1,positive_unate,0.045425,0.0974961,0.013316,0.0168225
U104,B,S,FA_X1,positive_unate,0.0582595,0.0690764,0.0154516,0.0123408
U104,B,S,FA_X1,negative_unate,0.11783,0.0965545,0.0148351,0.0128213
U104,B,S,FA_X1,negative_unate,0.123006,0.0882269,0.0143549,0.0132579
U104,CI,CO,FA_X1,positive_unate,0.0575069,0.071891,0.0165996,0.0169302
U104,CI,CO,FA_X1,positive_unate,0.0556311,0.0758127,0.0170104,0.0156655
U104,CI,S,FA_X1,positive_unate,0.0473585,0.0920718,0.0137747,0.0168357
U104,CI,S,FA_X1,positive_unate,0.0630479,0.0677456,0.0153529,0.0128491
U104,CI,S,FA_X1,negative_unate,0.112198,0.0990877,0.0144555,0.0128386
U104,CI,S,FA_X1,negative_unate,0.117316,0.0924131,0.0143624,0.0125297
U105,A,ZN,XNOR2_X1,positive_unate,0.0353794,0.034209,0.0137601,0.0105184
U105,A,ZN,XNOR2_X1,negative_unate,0.0269976,0.0110342,0.0210005,0.00786945
U105,B,ZN,XNOR2_X1,positive_unate,0.0365992,0.0350478,0.0137383,0.00894006
U105,B,ZN,XNOR2_X1,negative_unate,0.0308,0.0133625,0.0210054,0.00969936
U106,A1,ZN,OAI22_X1,negative_unate,0.0424156,0.0248713,0.0387938,0.014121
U106,A1,ZN,OAI22_X1,negative_unate,0.0416451,0.0220386,0.0320517,0.0126996
U106,A1,ZN,OAI22_X1,negative_unate,0.0414244,0.0188971,0.0320533,0.0104105
U106,A2,ZN,OAI22_X1,negative_unate,0.0481108,0.029444,0.0387946,0.0164966
U106,A2,ZN,OAI22_X1,negative_unate,0.0473381,0.0263994,0.0320503,0.0151388
U106,A2,ZN,OAI22_X1,negative_unate,0.0471406,0.0226008,0.0320541,0.0125286
U106,B1,ZN,OAI22_X1,negative_unate,0.0584261,0.0381465,0.0444414,0.0195944
U106,B1,ZN,OAI22_X1,negative_unate,0.0576118,0.0337906,0.0373454,0.0186585
U106,B1,ZN,OAI22_X1,negative_unate,0.059826,0.0322819,0.038524,0.0182242
U106,B2,ZN,OAI22_X1,negative_unate,0.0588472,0.0342768,0.0443209,0.0169075
U106,B2,ZN,OAI22_X1,negative_unate,0.0580242,0.0310422,0.0372167,0.0155207
U106,B2,ZN,OAI22_X1,negative_unate,0.0602371,0.0286993,0.0384298,0.0135227
U107,A,ZN,XNOR2_X1,positive_unate,0.0413117,0.0383949,0.0191383,0.0139306
U107,A,ZN,XNOR2_X1,negative_unate,0.0394392,0.0151332,0.0322929,0.0114413
