gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U100,A1,Y,AOI21xp5_ASAP7_6t_R,negative_unate,24.057,24.7572,31.1254,29.1021
U100,A2,Y,AOI21xp5_ASAP7_6t_R,negative_unate,26.9822,23.4774,33.7309,28.6519
U100,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,23.1201,13.5059,31.4859,15.4277
U100,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,23.1201,13.5059,31.4859,15.4277
U100,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,21.782,13.4361,30.2374,14.4838
U100,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,18.2657,13.364,23.3277,14.5451
U1000,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,14.9349,14.3052,16.3884,17.5387
U1000,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,15.3761,15.7982,16.6508,18.7729
U1001,A1,Y,AOI21xp5_ASAP7_6t_R,negative_unate,12.2617,11.3324,15.3592,13.2903
U1001,A2,Y,AOI21xp5_ASAP7_6t_R,negative_unate,17.4265,12.5198,19.3112,14.1559
U1001,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,17.3094,10.597,19.3018,11.2494
U1001,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,17.3094,10.597,19.3018,11.2494
U1001,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,15.8403,10.5094,18.3189,10.1012
U1001,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,13.7264,10.4317,14.8807,10.2011
U1002,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,16.9239,19.9558,19.9234,25.5557
U1002,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,16.5006,21.1741,19.0229,26.5892
U1003,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,19.5194,19.3358,26.0379,22.2709
U1003,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.3746,16.7104,25.8816,19.4396
U1004,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,26.842,27.9101,19.1415,26.2606
U1004,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,24.9598,19.3562,35.9689,25.899
U1004,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.1216,30.8088,19.4806,25.1709
U1004,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,25.8913,23.0047,36.7178,29.3559
U1005,A1,Y,AOI21x1_ASAP7_6t_R,negative_unate,17.9937,18.657,20.4321,20.6236
U1005,A2,Y,AOI21x1_ASAP7_6t_R,negative_unate,19.997,17.8337,22.5419,19.9147
U1005,B,Y,AOI21x1_ASAP7_6t_R,negative_unate,17.5645,11.7119,20.8148,12.5408
U1005,B,Y,AOI21x1_ASAP7_6t_R,negative_unate,17.5645,11.7119,20.8148,12.5408
U1005,B,Y,AOI21x1_ASAP7_6t_R,negative_unate,16.143,11.623,19.7024,11.4588
U1005,B,Y,AOI21x1_ASAP7_6t_R,negative_unate,13.8868,11.5445,15.7047,11.5394
U1006,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.3991,28.6501,18.2748,24.3459
U1006,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,26.1237,21.1524,35.1539,26.2493
U1006,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,28.5476,30.2537,18.2222,23.2709
U1006,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,25.0687,22.0649,34.5161,27.6238
U1007,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,30.0946,30.6149,19.9809,26.1203
U1007,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,29.349,21.9484,39.4275,27.75
U1007,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.8311,32.9627,20.0084,25.1792
U1007,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,28.548,23.4801,38.8846,29.6884
U1008,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,10.5692,10.5554,10.821,11.1449
U1008,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,9.84914,11.0807,9.98789,12.062
U1009,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,13.7159,16.0931,15.6798,16.5807
U1009,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,13.7198,14.9183,16.5095,14.9843
U101,A1,Y,AO22x1_ASAP7_6t_R,positive_unate,25.353,27.9295,13.5874,11.6634
U101,A1,Y,AO22x1_ASAP7_6t_R,positive_unate,24.3167,26.3897,13.1941,11.5699
U101,A1,Y,AO22x1_ASAP7_6t_R,positive_unate,25.353,27.9295,13.5874,11.6634
U101,A1,Y,AO22x1_ASAP7_6t_R,positive_unate,25.1439,24.4136,13.1503,10.93
U101,A2,Y,AO22x1_ASAP7_6t_R,positive_unate,30.176,29.7052,13.9788,11.8316
U101,A2,Y,AO22x1_ASAP7_6t_R,positive_unate,28.9589,27.9915,13.4926,11.7746
