gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1,A,ZN,INV_X1,negative_unate,0.0324111,0.010677,0.0186598,0.0245993
U10,A1,ZN,AOI222_X1,negative_unate,0.0324121,0.0218417,0.0233759,0.0139893
U10,A1,ZN,AOI222_X1,negative_unate,0.0360837,0.0219307,0.0297709,0.0139409
U10,A1,ZN,AOI222_X1,negative_unate,0.0429198,0.0222517,0.0341997,0.0161582
U10,A1,ZN,AOI222_X1,negative_unate,0.0384147,0.0219277,0.0302214,0.0139452
U10,A1,ZN,AOI222_X1,negative_unate,0.0424877,0.0220039,0.0370253,0.0139008
U10,A1,ZN,AOI222_X1,negative_unate,0.051007,0.0223253,0.0421371,0.0161127
U10,A1,ZN,AOI222_X1,negative_unate,0.0453568,0.0222534,0.0341912,0.0161564
U10,A1,ZN,AOI222_X1,negative_unate,0.051007,0.0223253,0.0421371,0.0161127
U10,A1,ZN,AOI222_X1,negative_unate,0.0596274,0.0226451,0.0469806,0.0183706
U10,A2,ZN,AOI222_X1,negative_unate,0.0590955,0.0252981,0.032186,0.0260327
U10,A2,ZN,AOI222_X1,negative_unate,0.0652971,0.0249473,0.0376037,0.0259246
U10,A2,ZN,AOI222_X1,negative_unate,0.0721394,0.0255924,0.0404455,0.0296807
U10,A2,ZN,AOI222_X1,negative_unate,0.0669124,0.0248187,0.0378667,0.0260132
U10,A2,ZN,AOI222_X1,negative_unate,0.0730205,0.0245797,0.0438275,0.0258976
U10,A2,ZN,AOI222_X1,negative_unate,0.0811719,0.0252299,0.0476554,0.0296667
U10,A2,ZN,AOI222_X1,negative_unate,0.0738966,0.0254631,0.0405732,0.0297822
U10,A2,ZN,AOI222_X1,negative_unate,0.0811719,0.0252299,0.0476554,0.0296667
U10,A2,ZN,AOI222_X1,negative_unate,0.0892668,0.0258765,0.0518661,0.0331918
U10,B1,ZN,AOI222_X1,negative_unate,0.0542845,0.0348969,0.027453,0.0210754
U10,B1,ZN,AOI222_X1,negative_unate,0.0640283,0.0349596,0.0353504,0.0210437
U10,B1,ZN,AOI222_X1,negative_unate,0.0714452,0.0353778,0.039149,0.023733
U10,B1,ZN,AOI222_X1,negative_unate,0.0597602,0.0319192,0.0309502,0.0211169
U10,B1,ZN,AOI222_X1,negative_unate,0.069749,0.0319946,0.0382607,0.0210722
U10,B1,ZN,AOI222_X1,negative_unate,0.0783761,0.0324354,0.0427243,0.0239049
U10,B1,ZN,AOI222_X1,negative_unate,0.0667604,0.0323647,0.0344962,0.023955
U10,B1,ZN,AOI222_X1,negative_unate,0.0783761,0.0324354,0.0427243,0.0239049
U10,B1,ZN,AOI222_X1,negative_unate,0.0870108,0.0328653,0.0472498,0.0265768
U10,B2,ZN,AOI222_X1,negative_unate,0.0560296,0.0309687,0.0301667,0.0147258
U10,B2,ZN,AOI222_X1,negative_unate,0.0675147,0.0311218,0.0391261,0.0146837
U10,B2,ZN,AOI222_X1,negative_unate,0.074891,0.0314003,0.0429836,0.0167935
U10,B2,ZN,AOI222_X1,negative_unate,0.0629546,0.0286297,0.0344338,0.0144266
U10,B2,ZN,AOI222_X1,negative_unate,0.0746023,0.0287795,0.0426899,0.0143904
U10,B2,ZN,AOI222_X1,negative_unate,0.0831606,0.0290671,0.0472286,0.0165586
U10,B2,ZN,AOI222_X1,negative_unate,0.069911,0.0289162,0.0381107,0.0166053
U10,B2,ZN,AOI222_X1,negative_unate,0.0831606,0.0290671,0.0472286,0.0165586
U10,B2,ZN,AOI222_X1,negative_unate,0.0917602,0.0293524,0.0517978,0.0187147
U10,C1,ZN,AOI222_X1,negative_unate,0.064724,0.0401045,0.0283135,0.0223652
U10,C1,ZN,AOI222_X1,negative_unate,0.0734345,0.0385613,0.0353234,0.0221411
U10,C1,ZN,AOI222_X1,negative_unate,0.080841,0.0389661,0.0391362,0.0248404
U10,C1,ZN,AOI222_X1,negative_unate,0.0708985,0.0359438,0.0317705,0.0226574
U10,C1,ZN,AOI222_X1,negative_unate,0.0792486,0.0347396,0.038218,0.0223986
U10,C1,ZN,AOI222_X1,negative_unate,0.0878657,0.0351822,0.042701,0.0252898
U10,C1,ZN,AOI222_X1,negative_unate,0.0779628,0.0363861,0.0353491,0.0255445
U10,C1,ZN,AOI222_X1,negative_unate,0.0878657,0.0351822,0.042701,0.0252898
U10,C1,ZN,AOI222_X1,negative_unate,0.0965022,0.0356196,0.0472314,0.0279598
U10,C2,ZN,AOI222_X1,negative_unate,0.0723203,0.0414826,0.0312731,0.0208939
U10,C2,ZN,AOI222_X1,negative_unate,0.0822848,0.0399871,0.039145,0.0205669
U10,C2,ZN,AOI222_X1,negative_unate,0.0896358,0.0403665,0.0429929,0.0231586
U10,C2,ZN,AOI222_X1,negative_unate,0.0796229,0.0372083,0.035375,0.0209059
U10,C2,ZN,AOI222_X1,negative_unate,0.0892331,0.0360749,0.0427078,0.0205807
U10,C2,ZN,AOI222_X1,negative_unate,0.0977841,0.0364888,0.0472433,0.0233172
U10,C2,ZN,AOI222_X1,negative_unate,0.0866252,0.0376189,0.039016,0.0236687
U10,C2,ZN,AOI222_X1,negative_unate,0.0977841,0.0364888,0.0472433,0.0233172
U10,C2,ZN,AOI222_X1,negative_unate,0.106351,0.0368946,0.0518007,0.0258919
U100,A,ZN,XNOR2_X1,positive_unate,0.056193,0.0496269,0.0332024,0.0233888
U100,A,ZN,XNOR2_X1,negative_unate,0.0711611,0.0263566,0.0613282,0.0212049
U100,B,ZN,XNOR2_X1,positive_unate,0.0575204,0.0510112,0.0331553,0.0216397
U100,B,ZN,XNOR2_X1,negative_unate,0.0748456,0.0290641,0.0613308,0.0230077
U1000,A,Z,XOR2_X1,positive_unate,0.0655046,0.0613503,0.0354413,0.0139893
U1000,A,Z,XOR2_X1,negative_unate,0.0481218,0.0246713,0.0330131,0.0144411
U1000,B,Z,XOR2_X1,positive_unate,0.0728143,0.0745497,0.0324189,0.0141379
U1000,B,Z,XOR2_X1,negative_unate,0.0646708,0.0331175,0.037573,0.0244602
U1001,A1,ZN,NOR2_X1,negative_unate,0.0449079,0.0181361,0.0294704,0.0130286
U1001,A2,ZN,NOR2_X1,negative_unate,0.0450589,0.020181,0.0288333,0.0132956
U1002,A1,ZN,NAND2_X1,negative_unate,0.0293685,0.0264087,0.0168822,0.0166365
U1002,A2,ZN,NAND2_X1,negative_unate,0.026856,0.02546,0.0162823,0.0135215
U1003,A,ZN,OAI21_X1,negative_unate,0.0328587,0.0282252,0.022318,0.0151195
U1003,A,ZN,OAI21_X1,negative_unate,0.0325068,0.0253638,0.0198982,0.0134526
U1003,A,ZN,OAI21_X1,negative_unate,0.0335501,0.0227732,0.0204236,0.0108143
U1003,B1,ZN,OAI21_X1,negative_unate,0.0502264,0.0311496,0.0367104,0.0191151
