gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U10,A1,Y,NAND2X1,negative_unate,897795,850441,594190,380364
U10,A2,Y,NAND2X1,negative_unate,1.29754e+06,1.0542e+06,1.36112e+06,423183
U100,A1,Y,NAND2X1,negative_unate,885947,849012,580317,380223
U100,A2,Y,NAND2X1,negative_unate,1.28205e+06,1.0272e+06,1.34097e+06,398350
U101,A1,Y,NAND2X1,negative_unate,919101,801676,578665,352084
U101,A2,Y,NAND2X1,negative_unate,1.28204e+06,1.0272e+06,1.34096e+06,398348
U102,A1,Y,XOR2X1,positive_unate,2.31346e+06,3.00486e+06,776850,1.03644e+06
U102,A1,Y,XOR2X1,negative_unate,5.76077e+06,4.313e+06,1.27853e+06,949594
U102,A2,Y,XOR2X1,positive_unate,2.2356e+06,2.89784e+06,1.20753e+06,831979
U102,A2,Y,XOR2X1,negative_unate,5.57707e+06,4.50647e+06,1.01633e+06,820693
U103,A1,Y,NAND2X1,negative_unate,862609,841236,581477,375601
U103,A2,Y,NAND2X1,negative_unate,1.28606e+06,1.05179e+06,1.34908e+06,423250
U104,A1,Y,AND2X1,positive_unate,950513,1.86273e+06,1.19873e+06,552440
U104,A2,Y,AND2X1,positive_unate,2.55868e+06,2.24851e+06,385115,717908
U105,A,Y,INVX1,negative_unate,-548795,1.07077e+06,346404,5144.4
U106,A1,Y,NAND2X1,negative_unate,1.33122e+06,927326,1.11731e+06,408774
U106,A2,Y,NAND2X1,negative_unate,1.74838e+06,1.21778e+06,1.64232e+06,480625
U107,A1,Y,OR2X1,positive_unate,2.30174e+06,2.06174e+06,327435,578452
U107,A2,Y,OR2X1,positive_unate,1.65306e+06,2.11783e+06,438441,616360
U108,A1,Y,AND2X1,positive_unate,1.47431e+06,1.86938e+06,498697,540464
U108,A2,Y,AND2X1,positive_unate,1.78484e+06,2.24393e+06,522441,696235
U109,A1,Y,XOR2X1,positive_unate,2.3139e+06,2.9864e+06,789826,1.06125e+06
U109,A1,Y,XOR2X1,negative_unate,4.91694e+06,4.57029e+06,1.37868e+06,928685
U109,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U109,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U11,A1,Y,NAND2X1,negative_unate,897673,850428,594044,380357
U11,A2,Y,NAND2X1,negative_unate,1.29764e+06,1.05547e+06,1.36173e+06,424247
U110,A1,Y,AND2X1,positive_unate,1.88136e+06,2.03485e+06,997860,589448
U110,A2,Y,AND2X1,positive_unate,2.19891e+06,2.45805e+06,1.05609e+06,753313
U111,A,Y,INVX1,negative_unate,-1.18743e+06,707635,340138,10578.1
U112,A,Y,INVX1,negative_unate,-1.19023e+06,707965,340083,10570.8
U113,A1,Y,AND2X1,positive_unate,1.87883e+06,2.03513e+06,993734,589327
U113,A2,Y,AND2X1,positive_unate,2.19828e+06,2.45766e+06,1.05642e+06,754398
U114,A,Y,INVX1,negative_unate,-1.18997e+06,707840,340113,10575.1
