gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1,A1,ZN,NOR2_X1,negative_unate,0.0537341,0.018814,0.0400301,0.0101356
U1,A2,ZN,NOR2_X1,negative_unate,0.0584576,0.0199327,0.0400169,0.0107322
U10,A1,ZN,AND2_X1,positive_unate,0.0372004,0.0300931,0.0165499,0.00910161
U10,A2,ZN,AND2_X1,positive_unate,0.0384922,0.0324423,0.0165492,0.00929744
U100,A1,ZN,NOR2_X1,negative_unate,0.0367881,0.0160336,0.0275118,0.0101343
U100,A2,ZN,NOR2_X1,negative_unate,0.0429948,0.018799,0.0275129,0.011896
U101,A1,ZN,AND2_X1,positive_unate,0.0347242,0.0291099,0.0144777,0.0084969
U101,A2,ZN,AND2_X1,positive_unate,0.0360156,0.031445,0.0144771,0.00869572
U102,A,CO,FA_X1,positive_unate,0.0516779,0.0795411,0.0165589,0.0159953
U102,A,CO,FA_X1,positive_unate,0.0557216,0.0761314,0.0165143,0.0162438
U102,A,S,FA_X1,positive_unate,0.0496245,0.103985,0.0155059,0.0178573
U102,A,S,FA_X1,positive_unate,0.0606559,0.0759279,0.0170992,0.0137013
U102,A,S,FA_X1,negative_unate,0.118122,0.0922349,0.0165343,0.0134937
U102,A,S,FA_X1,negative_unate,0.118563,0.0922217,0.0159856,0.0148765
U102,B,CO,FA_X1,positive_unate,0.0536779,0.0817036,0.0163127,0.0159858
U102,B,CO,FA_X1,positive_unate,0.0543309,0.0811887,0.0165132,0.0156383
U102,B,S,FA_X1,positive_unate,0.0476437,0.0999531,0.0150836,0.0178551
U102,B,S,FA_X1,positive_unate,0.0606941,0.0711594,0.0172144,0.013328
U102,B,S,FA_X1,negative_unate,0.119804,0.0985676,0.0164795,0.0138056
U102,B,S,FA_X1,negative_unate,0.12495,0.0903675,0.0160647,0.01444
U102,CI,CO,FA_X1,positive_unate,0.051422,0.068924,0.0163105,0.0168953
U102,CI,CO,FA_X1,positive_unate,0.049676,0.0728648,0.0166561,0.0156349
U102,CI,S,FA_X1,positive_unate,0.0456534,0.0928097,0.0153636,0.0178875
U102,CI,S,FA_X1,positive_unate,0.059998,0.0666624,0.0171215,0.014025
U102,CI,S,FA_X1,negative_unate,0.111249,0.0957635,0.016121,0.0138175
U102,CI,S,FA_X1,negative_unate,0.116378,0.089497,0.0160704,0.0135058
U103,A1,ZN,NOR2_X1,negative_unate,0.0363851,0.0137177,0.0287731,0.00771632
U103,A2,ZN,NOR2_X1,negative_unate,0.0444862,0.0189182,0.0287695,0.0119051
U104,A1,ZN,NOR2_X1,negative_unate,0.0367881,0.0160336,0.0275118,0.0101343
U104,A2,ZN,NOR2_X1,negative_unate,0.0420739,0.0177048,0.0275129,0.0105637
U105,A1,ZN,NOR2_X1,negative_unate,0.0318734,0.0135957,0.0237968,0.00817986
U105,A2,ZN,NOR2_X1,negative_unate,0.0389006,0.0168982,0.0237988,0.0110465
U106,A,CO,FA_X1,positive_unate,0.0508934,0.0792746,0.0159943,0.0158876
U106,A,CO,FA_X1,positive_unate,0.0549368,0.0758435,0.0159463,0.016121
U106,A,S,FA_X1,positive_unate,0.0466362,0.100948,0.0132664,0.0166176
U106,A,S,FA_X1,positive_unate,0.0574603,0.0733029,0.0148575,0.0125295
U106,A,S,FA_X1,negative_unate,0.115502,0.0897958,0.0144682,0.0123021
U106,A,S,FA_X1,negative_unate,0.115993,0.0895066,0.0138643,0.0133597
U106,B,CO,FA_X1,positive_unate,0.057127,0.0828824,0.015808,0.0158767
U106,B,CO,FA_X1,positive_unate,0.0577243,0.0824913,0.0159853,0.0155304
U106,B,S,FA_X1,positive_unate,0.0488689,0.0981773,0.0129494,0.0166158
U106,B,S,FA_X1,positive_unate,0.0619166,0.0701498,0.0149907,0.0121429
U106,B,S,FA_X1,negative_unate,0.118631,0.0998273,0.0143987,0.0126313
U106,B,S,FA_X1,negative_unate,0.123954,0.0917525,0.0139044,0.0130068
U106,CI,CO,FA_X1,positive_unate,0.0578139,0.0706719,0.0158435,0.0167643
U106,CI,CO,FA_X1,positive_unate,0.0558678,0.0746279,0.0162875,0.0155281
U106,CI,S,FA_X1,positive_unate,0.0474697,0.0910026,0.0133602,0.0166341
U106,CI,S,FA_X1,positive_unate,0.0635927,0.0662378,0.0148651,0.0126185
U106,CI,S,FA_X1,negative_unate,0.110712,0.0998262,0.0140205,0.0126416
U106,CI,S,FA_X1,negative_unate,0.115824,0.0930582,0.0139124,0.0123336
U107,A1,ZN,OR2_X1,positive_unate,0.0321448,0.0531274,0.0136597,0.011769
U107,A2,ZN,OR2_X1,positive_unate,0.0337518,0.0574626,0.0137819,0.011766
U108,A,CO,FA_X1,positive_unate,0.0479059,0.0785583,0.0132298,0.0141427
U108,A,CO,FA_X1,positive_unate,0.0521902,0.0757053,0.0131762,0.0140828
U108,A,S,FA_X1,positive_unate,0.0509231,0.107148,0.0157474,0.0176671
U108,A,S,FA_X1,positive_unate,0.0616158,0.0799707,0.0173382,0.0135243
U108,A,S,FA_X1,negative_unate,0.121524,0.0927728,0.0167587,0.0133126
U108,A,S,FA_X1,negative_unate,0.122623,0.0929039,0.0162152,0.0146648
U108,B,CO,FA_X1,positive_unate,0.0498663,0.0810668,0.0129927,0.0141413
U108,B,CO,FA_X1,positive_unate,0.0504422,0.0809057,0.0131801,0.0137956
U108,B,S,FA_X1,positive_unate,0.0487716,0.102531,0.0153263,0.0176643
U108,B,S,FA_X1,positive_unate,0.0617801,0.074573,0.0174546,0.0131471
U108,B,S,FA_X1,negative_unate,0.123543,0.0989856,0.0167031,0.0136264
U108,B,S,FA_X1,negative_unate,0.129039,0.0906979,0.016297,0.0142271
U108,CI,CO,FA_X1,positive_unate,0.0479713,0.067884,0.0129896,0.0145833
U108,CI,CO,FA_X1,positive_unate,0.0461118,0.0721506,0.0133641,0.0137915
U108,CI,S,FA_X1,positive_unate,0.0468878,0.0943787,0.015602,0.0176748
U108,CI,S,FA_X1,positive_unate,0.0613163,0.0701049,0.0173521,0.0137897
