gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U431,A1,Z,OR2_X1,positive_unate,0.018044,0.0245352,0.0155102,0.0155357
U431,A2,Z,OR2_X1,positive_unate,0.0193531,0.0257452,0.0156878,0.0154497
U432,I,ZN,INV_X1,negative_unate,0.0157162,0.0157997,0.0205581,0.0189016
U433,I,ZN,INV_X1,negative_unate,0.0207971,0.0224085,0.025106,0.0258502
U434,A1,ZN,NOR2_X1,negative_unate,0.0209352,0.0178968,0.0315079,0.0201527
U434,A2,ZN,NOR2_X1,negative_unate,0.0226749,0.0180712,0.0300613,0.0199639
U435,I,ZN,INV_X2,negative_unate,0.00392336,0.00349178,0.00627152,0.00531048
U436,I,ZN,INV_X4,negative_unate,0.00328173,0.00292619,0.00489327,0.00415687
U437,I,ZN,INV_X2,negative_unate,0.00392336,0.00349178,0.00627152,0.00531048
U438,A1,ZN,OAI21_X1,negative_unate,0.0182266,0.0159884,0.0262066,0.021758
U438,A2,ZN,OAI21_X1,negative_unate,0.017182,0.0161415,0.0241569,0.0232317
U438,B,ZN,OAI21_X1,negative_unate,0.0123685,0.0185425,0.0193245,0.0223413
U439,I,ZN,INV_X2,negative_unate,0.0117099,0.0101728,0.0135866,0.0117109
U440,I,ZN,INV_X1,negative_unate,0.0092271,0.00825563,0.0120623,0.0100839
U441,A1,Z,XOR2_X1,positive_unate,0.0268784,0.0239608,0.0282334,0.0159564
U441,A1,Z,XOR2_X1,negative_unate,0.0174194,0.0161973,0.0264785,0.0218072
U441,A2,Z,XOR2_X1,positive_unate,0.0265993,0.0260653,0.0251824,0.015728
U441,A2,Z,XOR2_X1,negative_unate,0.0200533,0.0170381,0.0297679,0.0206892
U442,A1,ZN,AOI21_X2,negative_unate,0.0156682,0.0180544,0.0217536,0.0219646
U442,A2,ZN,AOI21_X2,negative_unate,0.0179697,0.0138097,0.0246239,0.0153099
U442,B,ZN,AOI21_X2,negative_unate,0.0159738,0.0120066,0.0165003,0.013132
U443,I,Z,CLKBUF_X2,positive_unate,0.0175274,0.0170585,0.0133615,0.0130474
U444,I,ZN,INV_X4,negative_unate,0.00310254,0.00276797,0.00451534,0.00383945
U445,A1,ZN,NOR2_X1,negative_unate,0.021259,0.0151218,0.0302835,0.0171001
U445,A2,ZN,NOR2_X1,negative_unate,0.0194193,0.0142568,0.0271801,0.0166174
U446,A1,ZN,NAND2_X1,negative_unate,0.0090985,0.0126287,0.0119432,0.0187231
U446,A2,ZN,NAND2_X1,negative_unate,0.0162852,0.021205,0.0185582,0.0226172
U447,I,Z,CLKBUF_X2,positive_unate,0.0174699,0.0168632,0.0100901,0.00985747
U448,I,ZN,INV_X2,negative_unate,0.0170648,0.0150303,0.0209427,0.0178671
U449,I,ZN,INV_X1,negative_unate,0.00904425,0.00809028,0.0106376,0.0090803
U450,A1,ZN,NAND2_X2,negative_unate,0.0144061,0.0189953,0.0165817,0.0235224
U450,A2,ZN,NAND2_X2,negative_unate,0.0157612,0.0201457,0.0175415,0.0202173
