NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
-1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.000592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
0,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.000593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
1,egfet,2747741.5,2747741.5,1494920.0,2235340.0,0.0007563,0.2496,0.07133,0.4993,0.1664,0.0,2.0,2.0,0.7493,2,1
2,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
3,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
4,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
5,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
6,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
7,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
8,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
9,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
10,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004906,0.2502,0.2502,0.5004,0.1668,0.0,2.0,2.0,0.7504,2,1
11,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002602,0.2503,0.5007,3.505,1.168,0.0,14.0,14.0,36.78,2,1
12,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002602,0.2503,0.5007,3.505,1.168,0.0,14.0,14.0,36.78,2,1
-1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
0,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
2,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
3,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
4,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
5,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
6,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
7,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
8,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
9,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004908,0.25,0.25,0.5,0.1667,0.0,2.0,2.0,0.75,2,2
10,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.00026,0.2496,0.4991,3.494,1.165,0.0,14.0,14.0,36.71,2,2
11,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.00026,0.2496,0.4991,3.494,1.165,0.0,14.0,14.0,36.71,2,2
12,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.00026,0.2496,0.4991,3.494,1.165,0.0,14.0,14.0,36.71,2,2
-1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
0,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
2,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
3,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
4,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
5,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
6,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
7,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
8,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
9,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
10,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
11,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
12,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
13,egfet,2747741.5,2747741.5,1061420.0,2235340.0,0.0004904,0.2498,0.2498,0.4997,0.1666,0.0,2.0,2.0,0.7497,2,3
14,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002603,0.2505,0.5011,3.508,1.169,0.0,14.0,14.0,36.8,2,3
15,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002603,0.2505,0.5011,3.508,1.169,0.0,14.0,14.0,36.8,2,3
-1,egfet,4712829.0,4712829.0,6763240.0,4712829.0,0.001213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
0,egfet,4712829.0,4712829.0,6763240.0,4712829.0,0.001213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,egfet,4712829.0,4712829.0,5636180.0,4593835.0,0.0009913,0.1249,0.09995,0.9995,0.3332,0.0,8.0,8.0,6.997,3,1
2,egfet,4712829.0,4712829.0,5433460.0,4464801.5,0.000899,0.4996,0.09802,1.998,0.6661,0.0,4.0,4.0,4.0,3,1
