NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
-1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
0,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
2,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
3,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
4,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
5,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
6,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
7,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002614,0.2536,0.07246,1.014,0.0,0.0,4.0,4.0,3.029,2,1
8,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002614,0.2536,0.07246,1.014,0.0,0.0,4.0,4.0,3.029,2,1
9,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002614,0.2536,0.07246,1.014,0.0,0.0,4.0,4.0,3.029,2,1
-1,egfet,5580120.0,3444461.25,1232500.0,3444461.25,0.0004672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
0,egfet,5580120.0,3444461.25,1232500.0,3444461.25,0.0004669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
1,egfet,5580120.0,3444461.25,1232500.0,3444461.25,0.0004669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
2,egfet,5580120.0,3444461.25,563530.0,2113230.0,0.0002142,0.2583,0.2447,4.649,0.0,0.0,18.0,18.0,62.07,2,2
3,egfet,5580120.0,3444461.25,563530.0,2113230.0,0.0002142,0.2583,0.2447,4.649,0.0,0.0,18.0,18.0,62.07,2,2
6,egfet,5580120.0,3444461.25,433500.0,2235340.0,0.0002057,0.5008,0.2447,9.014,0.0,0.0,18.0,18.0,81.0,2,2
-1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
0,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
1,egfet,2747741.5,2747741.5,2067420.0,2747741.5,0.0005929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
2,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
3,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
4,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
5,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
6,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
7,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
8,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
9,egfet,2747741.5,2747741.5,563530.0,2113230.0,0.0002601,0.2494,0.03325,0.9976,0.0,0.0,4.0,4.0,2.995,2,3
-1,egfet,4000000.0,4000000.0,7002090.0,4000000.0,0.00106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
0,egfet,4000000.0,4000000.0,6382120.0,4702200.5,0.001101,0.4889,0.0989,19.3,0.0,0.0,128.0,128.0,1320.0,3,1
-1,egfet,5580120.0,5483719.0,8385150.0,5483719.0,0.001194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
0,egfet,5580120.0,5483719.0,9539220.0,5850305.5,0.001823,0.0946,0.004204,0.7568,0.0,0.0,8.0,8.0,5.482,3,2
1,egfet,5580120.0,5483719.0,9539220.0,5850305.5,0.001823,0.0946,0.004204,0.7568,0.0,0.0,8.0,8.0,5.482,3,2
2,egfet,5580120.0,5483719.0,7282930.0,5568955.0,0.001168,0.5064,0.009006,2.026,0.0,0.0,4.0,4.0,3.999,3,2
3,egfet,5580120.0,5483719.0,7282930.0,5568955.0,0.001168,0.5064,0.009006,2.026,0.0,0.0,4.0,4.0,3.999,3,2
4,egfet,5580120.0,5483719.0,7282930.0,5568955.0,0.001168,0.5064,0.009006,2.026,0.0,0.0,4.0,4.0,3.999,3,2
5,egfet,5580120.0,5483719.0,8399520.0,5546483.5,0.001372,0.2205,0.0154,2.771,0.0,0.0,16.0,16.0,30.61,3,2
6,egfet,5580120.0,5483719.0,6697790.0,5479236.0,0.001011,0.4936,0.01836,2.982,0.0,0.0,12.0,12.0,15.12,3,2
7,egfet,5580120.0,5483719.0,6615940.0,6132892.0,0.001184,0.8147,0.06301,12.06,0.0,0.0,128.0,128.0,912.1,3,2
8,egfet,5580120.0,5483719.0,6182440.0,5478255.5,0.001108,0.8721,0.05604,13.86,0.0,0.0,52.0,52.0,243.1,3,2
9,egfet,5580120.0,5483719.0,5790180.0,4453902.0,0.0009769,0.2515,0.06176,15.07,0.0,0.0,64.0,64.0,680.2,3,2
-1,egfet,6000000.0,6000000.0,6902870.0,6000000.0,0.001153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
0,egfet,6000000.0,6000000.0,7791290.0,5634240.0,0.001371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
1,egfet,6000000.0,6000000.0,7357790.0,5634031.0,0.0013,0.5035,0.01009,2.014,0.0,0.0,4.0,4.0,4.0,3,3
2,egfet,6000000.0,6000000.0,7357790.0,5634031.0,0.0013,0.5035,0.01009,2.014,0.0,0.0,4.0,4.0,4.0,3,3
3,egfet,6000000.0,6000000.0,7658300.0,5724283.0,0.001193,0.1273,0.0219,4.074,0.0,0.0,32.0,32.0,113.8,3,3
4,egfet,6000000.0,6000000.0,7658300.0,5724283.0,0.001193,0.1273,0.0219,4.074,0.0,0.0,32.0,32.0,113.8,3,3
5,egfet,6000000.0,6000000.0,6953410.0,5730583.5,0.001227,0.5035,0.02652,5.069,0.0,0.0,28.0,28.0,80.13,3,3
6,egfet,6000000.0,6000000.0,6953410.0,5730583.5,0.001227,0.5035,0.02652,5.069,0.0,0.0,28.0,28.0,80.13,3,3
7,egfet,6000000.0,6000000.0,5988210.0,5751389.5,0.0009534,0.7529,0.04669,9.086,0.0,0.0,28.0,28.0,71.57,3,3
8,egfet,6000000.0,6000000.0,5590880.0,5724282.0,0.000948,0.2502,0.06297,12.2,0.0,0.0,92.0,92.0,930.5,3,3
9,egfet,6000000.0,6000000.0,5590880.0,5724282.0,0.000948,0.2502,0.06297,12.2,0.0,0.0,92.0,92.0,930.5,3,3
-1,egfet,15658210.01,14430902.0,19278820.0,14430902.0,0.00156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
0,egfet,15658210.01,14430902.0,19622080.0,13417009.0,0.001646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
1,egfet,15658210.01,14430902.0,18974720.0,13416589.0,0.001566,0.2454,0.004576,0.9816,0.0,0.0,4.0,4.0,2.963,4,1
2,egfet,15658210.01,14430902.0,18974720.0,13416589.0,0.001566,0.2454,0.004576,0.9816,0.0,0.0,4.0,4.0,2.963,4,1
3,egfet,15658210.01,14430902.0,18712300.0,13417009.0,0.001526,0.5086,0.00654,2.034,0.0,0.0,4.0,4.0,3.999,4,1
