CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
mul8u_1JJQ,asap7,0,361.820,32.577552,361.820,3.277e-08,0.000e+00
mul8u_1JJQ,variability14,0,0.399,162.054148,0.399,4.554e-05,0.000e+00
mul8u_1JJQ,fdsoi28,0,0.099,921.158010,0.099,2.211e-05,0.000e+00
mul8u_1JJQ,nangate45,0,1.025,567.111997,1.025,1.966e-05,0.000e+00
mul8u_ZB3,asap7,0,376.032,28.950048,376.032,2.453e-08,0.000e+00
mul8u_ZB3,variability14,0,0.388,151.928835,0.388,4.578e-05,0.000e+00
mul8u_ZB3,fdsoi28,0,0.103,799.596009,0.103,2.640e-05,0.000e+00
mul8u_ZB3,nangate45,0,0.972,611.267997,0.972,2.746e-05,0.000e+00
mul8u_4X5,asap7,0,369.282,31.364496,369.282,2.761e-08,0.000e+00
mul8u_4X5,variability14,0,0.394,147.554307,0.394,5.221e-05,0.000e+00
mul8u_4X5,fdsoi28,0,0.098,847.476009,0.098,2.320e-05,0.000e+00
mul8u_4X5,nangate45,0,1.014,533.595998,1.014,2.150e-05,0.000e+00
mul8u_DG8,asap7,0,364.671,28.903392,364.671,2.415e-08,0.000e+00
mul8u_DG8,variability14,0,0.399,140.967941,0.399,5.938e-05,0.000e+00
mul8u_DG8,fdsoi28,0,0.104,752.780008,0.104,1.306e-05,0.000e+00
mul8u_DG8,nangate45,0,1.054,507.261997,1.054,1.987e-05,0.000e+00
mul8u_GTR,asap7,0,347.681,25.952400,347.681,2.220e-08,0.000e+00
mul8u_GTR,variability14,0,0.367,124.403717,0.367,3.807e-05,0.000e+00
mul8u_GTR,fdsoi28,0,0.095,686.812007,0.095,1.157e-05,0.000e+00
mul8u_GTR,nangate45,0,0.981,446.347997,0.981,2.050e-05,0.000e+00
mul8u_L93,asap7,0,262.009,19.152288,262.009,1.764e-08,0.000e+00
mul8u_L93,variability14,0,0.297,75.497474,0.297,6.082e-05,0.000e+00
mul8u_L93,fdsoi28,0,0.074,390.488004,0.074,2.710e-05,0.000e+00
mul8u_L93,nangate45,0,0.739,278.501999,0.739,2.745e-05,0.000e+00
mul8u_18UH,asap7,0,196.450,8.001504,196.450,1.045e-08,0.000e+00
mul8u_18UH,variability14,0,0.195,33.619969,0.195,5.128e-05,0.000e+00
mul8u_18UH,fdsoi28,0,0.051,175.028002,0.051,3.346e-05,0.000e+00
mul8u_18UH,nangate45,0,0.530,96.557999,0.530,2.703e-05,0.000e+00
mul8u_17MJ,asap7,0,35.121,0.839808,35.121,1.303e-08,0.000e+00
mul8u_17MJ,variability14,0,0.040,2.998272,0.040,9.677e-05,0.000e+00
mul8u_17MJ,fdsoi28,0,0.007,11.172000,0.007,5.271e-05,0.000e+00
mul8u_17MJ,nangate45,0,0.102,9.842000,0.102,2.621e-07,0.000e+00
add8u_1HG,asap7,0,90.297,5.038848,90.297,6.097e-08,0.000e+00
add8u_1HG,variability14,0,0.094,22.069248,0.094,4.217e-04,0.000e+00
add8u_1HG,fdsoi28,0,0.023,150.023999,0.023,4.080e-04,0.000e+00
add8u_1HG,nangate45,0,0.266,75.810000,0.266,2.837e-04,0.000e+00
add16u_1A5,asap7,0,109.647,13.413600,109.647,1.211e-07,0.000e+00
add16u_1A5,variability14,0,0.133,47.087617,0.133,5.971e-04,0.000e+00
add16u_1A5,fdsoi28,0,0.031,296.324001,0.031,6.927e-04,0.000e+00
add16u_1A5,nangate45,0,0.404,165.718000,0.404,3.874e-04,0.000e+00
add8u_1HG,asap7,0,90.297,5.038848,90.297,6.097e-08,0.000e+00
add8u_1HG,variability14,0,0.094,22.069248,0.094,4.217e-04,0.000e+00
add8u_1HG,fdsoi28,0,0.023,150.023999,0.023,4.080e-04,0.000e+00
add8u_1HG,nangate45,0,0.266,75.810000,0.266,2.837e-04,0.000e+00
add8u_6PT,asap7,0,79.435,4.793904,79.435,6.253e-08,0.000e+00
add8u_6PT,variability14,0,0.090,21.381120,0.090,4.717e-04,0.000e+00
add8u_6PT,fdsoi28,0,0.023,100.548000,0.023,3.242e-04,0.000e+00
add8u_6PT,nangate45,0,0.266,59.584000,0.266,2.165e-04,0.000e+00
add8u_6P8,asap7,0,69.067,3.814128,69.067,5.708e-08,0.000e+00
add8u_6P8,variability14,0,0.081,15.728640,0.081,3.305e-04,0.000e+00
add8u_6P8,fdsoi28,0,0.022,94.430000,0.022,3.111e-04,0.000e+00
add8u_6P8,nangate45,0,0.234,50.540000,0.234,2.351e-04,0.000e+00
add8u_6SM,asap7,0,62.592,3.055968,62.592,5.389e-08,0.000e+00
add8u_6SM,variability14,0,0.068,13.811712,0.068,3.259e-04,0.000e+00
add8u_6SM,fdsoi28,0,0.019,68.894000,0.019,2.590e-04,0.000e+00
add8u_6SM,nangate45,0,0.217,46.550000,0.217,1.809e-04,0.000e+00
add8u_6S4,asap7,0,72.259,5.295456,72.259,8.999e-08,0.000e+00
add8u_6S4,variability14,0,0.084,18.382848,0.084,3.831e-04,0.000e+00
add8u_6S4,fdsoi28,0,0.023,71.554000,0.023,2.106e-04,0.000e+00
add8u_6S4,nangate45,0,0.269,53.732000,0.269,2.133e-04,0.000e+00
add8u_6R6,asap7,0,55.312,1.877904,55.312,4.724e-08,0.000e+00
add8u_6R6,variability14,0,0.060,10.715136,0.060,4.196e-04,0.000e+00
add8u_6R6,fdsoi28,0,0.12,57.988000,0.015,3.610e-05,0.000e+00
add8u_6R6,nangate45,0,0.180,26.068000,0.180,1.893e-04,0.000e+00
add8u_0TP,asap7,0,41.632,1.341360,41.632,5.387e-08,0.000e+00
add8u_0TP,variability14,0,0.050,5.554176,0.050,2.659e-04,0.000e+00
add8u_0TP,fdsoi28,0,0.11,43.358000,0.013,4.185e-05,0.000e+00
add8u_0TP,nangate45,0,0.166,19.950000,0.166,1.588e-04,0.000e+00
add8u_00M,asap7,0,41.363,0.641520,41.363,1.803e-08,0.000e+00
