,asap7,variability14,fdsoi28,nangate45,saed14,saed32
mul8u_1JJQ,19.408896,75.792474,280.630001,280.630001,72.993598,1168.808271
mul8u_ZB3,19.548864,74.711128,277.704001,277.704001,71.572798,1170.078989
mul8u_4X5,18.872352,72.253524,266.532,266.532,67.265998,1121.283342
mul8u_DG8,17.624304,68.026447,250.838001,250.838001,64.291198,1015.559436
mul8u_GTR,14.778288,60.604479,228.228001,228.228001,56.299198,823.680714
mul8u_L93,9.646128,38.830119,143.108,143.108,36.851999,299.889921
mul8u_18UH,3.744144,15.925258,57.456,57.722,15.4068,92.000128
mul8u_17MJ,0.384912,1.671168,6.384,6.384,2.22,12.961344
add8u_1HG,2.402784,8.945678,32.452,32.452,7.8144,39.138175
add8u_6PT,2.146176,8.06094,29.26,29.26,7.104,36.342591
add8u_6P8,1.889568,7.176202,26.068,26.068,6.3936,33.547007
add8u_6SM,1.69128,6.43892,23.408,23.408,6.3048,32.022144
add8u_6S4,1.621296,6.389768,22.61,22.61,6.216,31.513856
add8u_6R6,0.979776,3.686406,13.3,13.3,3.2412,15.756927
add8u_0TP,0.804816,3.047428,11.172,11.172,3.1968,14.740352
add8u_00M,0.478224,1.818626,6.65,6.65,2.22,10.16576
add8u_02Y,0.221616,0.688128,2.926,2.926,1.554,5.337024
add16u_1A5,5.01552,18.382877,66.500001,66.500001,15.983999,176.121792
add16u_0GN,4.070736,14.843927,53.732,53.732,13.319999,95.558143
add16u_126,3.67416,13.271061,47.88,47.88,11.943599,55.149246
add16u_0P8,3.137616,11.59989,42.028,42.028,10.655999,50.574655
add16u_0HE,2.647728,9.4372,34.048,34.048,8.5692,38.629887
add16u_07T,2.076192,7.274508,26.334,26.334,7.2372,30.497279
add16u_0KU,1.306368,5.111814,18.886,18.886,4.5288,25.668544
add16u_0SL,0.746496,2.850818,10.64,10.64,3.1524,18.044224
add16u_067,0.34992,1.277952,4.788,4.788,2.0868,9.657472
,asap7,variability14,fdsoi28,nangate45,saed14,saed32
mul8u_1JJQ,776.693,0.614,0.226,1.677,0.738,0.422
mul8u_ZB3,747.328,0.56,0.213,1.552,0.721,0.469
mul8u_4X5,768.225,0.56,0.213,1.551,0.679,0.37
mul8u_DG8,738.487,0.594,0.213,1.546,0.694,0.395
mul8u_GTR,722.578,0.627,0.225,1.749,0.716,0.66
mul8u_L93,604.443,0.481,0.176,1.284,0.572,0.312
mul8u_18UH,349.696,0.341,0.107,0.81,0.358,0.245
mul8u_17MJ,49.939,0.043,0.014,0.172,0.062,0.061
add8u_1HG,265.782,0.26,0.099,0.723,0.332,0.226
