Name,Type,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError
mul8x7u_048.v,8x7UM,0.0,0.120,7.182000,0.120,8.772e-05,9.880e-01,6.336e-01,2.212e+03,6.750e-02,1,8258
mul8x7u_2SG.v,8x7UM,0.0,0.906,501.941997,0.906,1.478e-03,1.867e-01,2.790e-04,1.867e-01,5.698e-06,1,1
mul8x7u_4MC.v,8x7UM,0.0,0.906,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8x7u_3EJ.v,8x7UM,0.0,0.848,444.485999,0.848,1.296e-03,9.564e-01,1.424e-02,1.611e+01,4.916e-04,1,61
mul8x7u_0V5.v,8x7UM,0.0,0.938,497.951998,0.938,1.386e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,100000,0
mul8x7u_3UT.v,8x7UM,0.0,0.922,460.179997,0.922,1.387e-03,5.300e-01,1.238e-03,1.089e+00,3.323e-05,1,4
mul8x7u_60Y.v,8x7UM,0.0,1.127,306.963999,1.127,9.063e-04,9.606e-01,3.199e-02,4.325e+01,1.320e-03,1,178
mul8x7u_4NF.v,8x7UM,0.0,1.333,438.101999,1.333,1.201e-03,7.691e-01,3.460e-03,3.312e+00,1.011e-04,1,12
mul8x7u_44V.v,8x7UM,0.0,0.761,185.135999,0.761,5.892e-04,9.855e-01,1.073e-01,1.832e+02,5.591e-03,1,784
mul8x7u_2D5.v,8x7UM,0.0,0.353,59.052000,0.353,2.925e-04,9.872e-01,2.587e-01,6.414e+02,1.957e-02,1,2609
mul8x7u_4L6.v,8x7UM,0.0,0.965,493.163998,0.965,1.379e-03,1.097e-01,2.580e-03,7.022e+00,2.143e-04,64,64
mul8x7u_4MD.v,8x7UM,0.0,0.923,499.547998,0.923,1.540e-03,4.370e-01,1.965e-03,1.748e+00,5.334e-05,4,4
mul8x7u_3LF.v,8x7UM,0.0,1.345,429.057998,1.345,1.229e-03,7.613e-01,3.598e-03,3.257e+00,9.940e-05,1,13
mul8x7u_1FZ.v,8x7UM,0.0,0.908,482.789998,0.908,1.445e-03,5.700e-01,5.761e-02,8.242e+01,2.515e-03,128,256
mul8x7u_6TV.v,8x7UM,0.0,1.281,376.921999,1.281,1.029e-03,8.722e-01,1.289e-02,1.507e+01,4.599e-04,1,57
mul8x7u_1AG.v,8x7UM,0.0,0.036,4.256000,0.036,1.051e-04,9.880e-01,6.425e-01,2.648e+03,8.081e-02,1,10033
mul8x7u_5FH.v,8x7UM,0.0,0.884,501.941998,0.884,1.435e-03,3.719e-01,5.955e-04,4.942e-01,1.508e-05,1,2
mul8x7u_6YT.v,8x7UM,0.0,1.198,372.665999,1.198,1.001e-03,9.374e-01,2.176e-02,2.729e+01,8.328e-04,1,106
mul8x7u_44Q.v,8x7UM,0.0,1.400,397.403998,1.400,1.120e-03,8.298e-01,3.317e-03,3.024e+00,9.229e-05,1,13
mul8x7u_3VV.v,8x7UM,0.0,0.905,456.189997,0.905,1.431e-03,8.909e-01,8.403e-03,8.709e+00,2.658e-04,1,37
mul8x7u_125.v,8x7UM,0.0,0.560,125.551999,0.560,4.719e-04,9.844e-01,1.426e-01,2.838e+02,8.661e-03,1,1230
mul8x7u_0YY.v,8x7UM,0.0,0.310,55.062000,0.310,2.784e-04,9.875e-01,3.115e-01,8.969e+02,2.737e-02,1,3636
mul8x7u_635.v,8x7UM,0.0,0.951,231.153999,0.951,6.610e-04,9.730e-01,5.691e-02,9.458e+01,2.886e-03,1,483
mul8x7u_6PC.v,8x7UM,0.0,0.231,41.230000,0.231,2.637e-04,9.881e-01,3.523e-01,1.043e+03,3.183e-02,1,4037
mul8x7u_3MA.v,8x7UM,0.0,1.254,324.253999,1.254,1.005e-03,9.265e-01,1.563e-02,1.784e+01,5.444e-04,1,63
mul8x7u_3DU.v,8x7UM,0.0,1.068,294.461999,1.068,8.351e-04,9.610e-01,4.394e-02,6.957e+01,2.123e-03,1,303
mul8x7u_2H0.v,8x7UM,0.0,1.405,460.711998,1.405,1.238e-03,6.025e-02,8.869e-05,1.205e-01,3.677e-06,2,2
mul8x7u_53E.v,8x7UM,0.0,1.332,421.609998,1.332,1.136e-03,8.417e-01,5.675e-03,5.693e+00,1.737e-04,1,22
mul8x7u_3Y3.v,8x7UM,0.0,0.964,489.705998,0.964,1.377e-03,7.685e-01,2.154e-03,1.957e+00,5.972e-05,1,7
mul8x7u_4DP.v,8x7UM,0.0,0.959,296.856000,0.959,8.386e-04,9.783e-01,5.103e-02,7.255e+01,2.214e-03,1,303
mul8x7u_3C6.v,8x7UM,0.0,1.270,458.317999,1.270,1.277e-03,8.343e-01,6.809e-03,6.952e+00,2.122e-04,1,21
mul8x7u_36L.v,8x7UM,0.0,0.850,411.768000,0.850,1.287e-03,9.282e-01,2.163e-02,2.644e+01,8.069e-04,1,99
mul8x7u_056.v,8x7UM,0.0,0.036,4.256000,0.036,1.052e-04,9.882e-01,6.186e-01,3.173e+03,9.683e-02,1,10033
mul8x7u_15S.v,8x7UM,0.0,0.317,88.312000,0.317,4.295e-04,9.877e-01,3.046e-01,8.661e+02,2.643e-02,1,3197
